Indeks;Dato;Antall smittet;Totalt smittet;Andel smittet
1;21.02.2020;1;1;1.85716E-07
2;22.02.2020;0;1;1.85716E-07
3;23.02.2020;0;1;1.85716E-07
4;24.02.2020;0;1;1.85716E-07
5;25.02.2020;0;1;1.85716E-07
6;26.02.2020;3;4;7.42863E-0
7;27.02.2020;2;6;1.11429E-06
8;28.02.2020;9;15;2.78573E-06
9;29.02.2020;6;21;3.90003E-0
10;01.03.2020;10;31;5.75718E-06
11;02.03.2020;12;43;7.98577E-06
12;03.03.2020;31;74;1.3743E-0
13;04.03.2020;33;107;1.98716E-05
14;05.03.2020;33;140;2.60002E-05
15;06.03.2020;24;164;3.04574E-05
16;07.03.2020;20;184;3.41717E-05
17;08.03.2020;65;249;4.62432E-0
18;09.03.2020;247;496;9.2115E-05
19;10.03.2020;241;737;0.000136872
20;11.03.2020;175;912;0.000169373
21;12.03.2020;206;1118;0.00020763
22;13.03.2020;147;1265;0.0002349
23;14.03.2020;100;1365;0.000253502
24;15.03.2020;99;1464;0.000271888
25;16.03.2020;180;1644;0.000305317
26;17.03.2020;176;1820;0.000338002
27;18.03.2020;213;2033;0.00037756
28;19.03.2020;239;2272;0.000421946
29;20.03.2020;308;2580;0.000479146
30;21.03.2020;174;2754;0.000511461
31;22.03.2020;148;2902;0.000538947
32;23.03.2020;296;3198;0.000593919
33;24.03.2020;313;3511;0.000652048
34;25.03.2020;292;3803;0.000706277
35;26.03.2020;297;4100;0.000761434
36;27.03.2020;262;4362;0.000810092
37;28.03.2020;166;4528;0.00084092
38;29.03.2020;106;4634;0.000860606
39;30.03.2020;264;4898;0.000909635
40;31.03.2020;208;5106;0.000948264
41;01.04.2020;198;5304;0.000985036
42;02.04.2020;198;5502;0.001021807
43;03.04.2020;164;5666;0.001052265
44;04.04.2020;88;5754;0.001068608
45;05.04.2020;72;5826;0.001081979
46;06.04.2020;158;5984;0.001111322
47;07.04.2020;140;6124;0.001137323
48;08.04.2020;106;6230;0.001157008
49;09.04.2020;103;6333;0.001176137
50;10.04.2020;68;6401;0.001188766
51;11.04.2020;109;6510;0.001209009
52;12.04.2020;76;6586;0.001223123
53;13.04.2020;77;6663;0.001237423
54;14.04.2020;122;6785;0.001260081
55;15.04.2020;103;6888;0.001279209
56;16.04.2020;80;6968;0.001294067
57;17.04.2020;108;7076;0.001314124
58;18.04.2020;49;7125;0.001323224
59;19.04.2020;36;7161;0.00132991
60;20.04.2020;84;7245;0.00134551
61;21.04.2020;78;7323;0.001359996
62;22.04.2020;77;7400;0.001374296
63;23.04.2020;69;7469;0.00138711
64;24.04.2020;53;7522;0.001396953
65;25.04.2020;25;7547;0.001401596
66;26.04.2020;37;7584;0.001408467
67;27.04.2020;71;7655;0.001421653
68;28.04.2020;50;7705;0.001430939
69;29.04.2020;39;7744;0.00143818
70;30.04.2020;39;7783;0.001445425
71;01.05.2020;43;7826;0.001453411
72;02.05.2020;23;7849;0.001457682
73;03.05.2020;44;7893;0.001465854
74;04.05.2020;45;7938;0.001474211
75;05.05.2020;43;7981;0.001482197
76;06.05.2020;39;8020;0.001489439
77;07.05.2020;29;8049;0.001494825
78;08.05.2020;41;8090;0.00150244
79;09.05.2020;11;8101;0.001504482
80;10.05.2020;12;8113;0.001506711
81;11.05.2020;23;8136;0.001510982
82;12.05.2020;19;8155;0.001514511
83;13.05.2020;19;8174;0.00151804
84;14.05.2020;23;8197;0.001522311
85;15.05.2020;21;8218;0.001526211
86;16.05.2020;13;8231;0.001528625
87;17.05.2020;3;8234;0.001529183
88;18.05.2020;17;8251;0.00153234
89;19.05.2020;20;8271;0.001536054
90;20.05.2020;19;8290;0.001539583
91;21.05.2020;14;8304;0.001542183
92;22.05.2020;26;8330;0.001547011
93;23.05.2020;6;8336;0.001548126
94;24.05.2020;6;8342;0.00154924
95;25.05.2020;18;8360;0.001552583
96;26.05.2020;12;8372;0.001554811
97;27.05.2020;18;8390;0.001558154
98;28.05.2020;16;8406;0.001561126
99;29.05.2020;16;8422;0.00156409
100;30.05.2020;0;8422;0.001564097
101;31.05.2020;6;8428;0.001565211
102;01.06.2020;7;8435;0.001566511
103;02.06.2020;31;8466;0.001572269
104;03.06.2020;12;8478;0.001574497
105;04.06.2020;17;8495;0.001577654
106;05.06.2020;30;8525;0.001583226
107;06.06.2020;8;8533;0.001584712
108;07.06.2020;9;8542;0.001586383
109;08.06.2020;18;8560;0.001589726
110;09.06.2020;13;8573;0.00159214
111;10.06.2020;14;8587;0.00159474
112;11.06.2020;11;8598;0.001596783
113;12.06.2020;13;8611;0.001599197
114;13.06.2020;7;8618;0.001600497
115;14.06.2020;6;8624;0.001601612
116;15.06.2020;18;8642;0.001604955
117;16.06.2020;36;8678;0.00161164
118;17.06.2020;15;8693;0.001614426
119;18.06.2020;13;8706;0.00161684
120;19.06.2020;18;8724;0.001620183
121;20.06.2020;6;8730;0.001621298
