Tid;Alle kilder;Olje- og gassutvinning;Industri og bergverk;Energiforsyning;Oppvarming i andre næringer og husholdninger;Veitrafikk;Luftfart, sjøfart, fiske, motorredskaper m.m.;Jordbruk;Andre kilder
1990;51454;8179;19759;418;2748;7180;5786;4719;2665
1991;49196;8062;18207;460;2478;7062;5629;4659;2637
1992;47533;8651;15882;446;2252;7093;5961;4638;2609
1993;49402;9171;16851;460;2283;7266;6128;4629;2614
1994;51263;9957;17755;507;2295;7163;6300;4635;2652
1995;51620;10135;17045;507;2340;7284;7002;4670;2638
1996;54604;11024;17636;596;2874;7660;7478;4695;2641
1997;54591;11524;17325;541;2431;7650;7759;4644;2716
1998;54754;11186;17602;576;2201;7882;8067;4639;2602
1999;55714;11688;17391;560;2437;8311;8122;4654;2551
2000;55111;13032;17221;515;1887;8142;7130;4508;2677
2001;56345;14008;16699;555;2104;8643;7181;4463;2691
2002;55287;13720;15690;598;2286;8721;7168;4452;2652
2003;55794;13876;15477;757;2682;8863;7022;4528;2589
2004;56189;14105;15747;646;2287;9159;7120;4497;2628
2005;55403;14073;15319;622;1894;9299;7150;4503;2542
2006;55355;13682;14898;637;2021;9579;7488;4416;2634
2007;57008;15138;14520;965;1813;9819;7705;4412;2637
2008;55587;14842;14057;813;1633;9688;7500;4394;2660
2009;53179;13747;11487;2056;1782;9540;7507;4380;2680
2010;55477;13927;12249;2450;1952;9788;7940;4305;2865
2011;54651;13623;12249;2232;1422;9739;8209;4277;2899
2012;54121;13730;11963;1722;1311;9781;8424;4296;2895
2013;53969;13670;12028;1725;1268;9791;8250;4346;2891
2014;53930;14367;11654;1724;1065;9941;7881;4403;2895
2015;54353;14888;11952;1724;950;9980;7566;4454;2839
2016;53471;14549;11592;1699;1096;9732;7379;4503;2922
2017;52492;14299;12039;1832;1000;8808;7134;4522;2859
2018;52041;14157;11976;1782;841;9056;7462;4467;2300
