aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;KOMM;935478715;Bærum Kommune;974553619;Bærum Kommune Vann Og Avløp;3024;Bærum;Sollihøgda Vannverk Bærum Kommune Vann Og Avløp;Z0704301334220581190KVPHB;Kommunal etat/enhet;21903;3024;Bærum;Region Stor-Oslo;Avdeling Oslo, Asker og Bærum;24.09.2019;Sollihøgda;2019;8631.0;8631.0;0.0;130.0;365.0;ja;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;137;53;0;82.0;0.0;0.0;0.0;0.0;14.0;4.0
ja;SA;870953682;Vaksvik Vassverk Sa;973332449;Vaksvik Vassverk Sa;1507;Ålesund;Vaksvik Vassverk A/L;Z0704301334229761190PVHZK;Privat AS, BA, lag, stiftelse, statlig etc;152302;1507;Ålesund;Region Midt;Avdeling Sunnmøre;03.04.2019;Vaksvika;2019;42000.0;42000.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;ja;nei;ja;ja;nei;180;230;90;51;35.0;15.0;5.0;0.0;35.0;0.0;10.0
ja;SA;970549757;Hildre Vasslag Sa;982657083;Hildre Vasslag Sa;1507;Ålesund;Hildre Vasslag A/L;Z0704301334273461190HPIXO;Privat AS, BA, lag, stiftelse, statlig etc;153405;1507;Ålesund;Region Midt;Avdeling Sunnmøre;22.04.2014;Strekn. Alvestad-Hildre. VASSLAGET FORSYNES FRA: Haram komm. v.v.Ytre;2018;0.0;27000.0;27000.0;1000.0;365.0;nei;ja;ja;ja;nei;ja;nei;nei;ja;nei;250;250;76;2;50.0;10.0;15.0;5.0;10.0;5.0;5.0
nei;FLI;;;986306757;Nye Løite Vannverk;911;Gjerstad - UTGÅTT KODE;Løite Vannverk;Z0704301334311811190DXMOL;;91104;4211;Gjerstad;Region Sør og Vest;Avdeling Agder;14.09.2009;;2010;9000.0;9000.0;0.0;;;nei;nei;nei;ja;;;nei;nei;;;105;105;42;0;80.0;1.0;0.0;0.0;19.0;0.0;0.0
nei;BA;;;976929004;Alnes Vassverk Ba;1532;Giske;Alnes Vassverk;Z0704301334335091189ACHFQ;;153202;1532;Giske;Region Midt;Avdeling Sunnmøre;02.09.2008;Alnes;2009;0.0;30300.0;30300.0;;;ja;nei;nei;ja;nei;ja;nei;ja;ja;nei;194;284;83;14;80.0;;;;;10.0;10.0
ja;SA;970197567;Fjørtoft Vassverk Sa;998951623;Fjørtoft Vassverk Sa;1507;Ålesund;Fjørtoft Vassverk Sa;Z0704301334355061189GZVWT;Privat AS, BA, lag, stiftelse, statlig etc;153406;1507;Ålesund;Region Midt;Avdeling Sunnmøre;15.10.2013;Fjørtofta FORSYNES FRA: Haram komm.v.v.Ytre;2019;0.0;91479.0;91479.0;120.0;365.0;ja;ja;ja;ja;nei;nei;ja;nei;ja;ja;120;350;80;61;12.0;4.0;53.0;1.0;5.0;2.0;23.0
ja;SA;970554203;Hellestranda Vassverk Sa;882657272;Hellestranda Vassverk Sa;1507;Ålesund;Hellestranda Vassverk Al Fr;Z0704301334357881189ULHXL;Privat AS, BA, lag, stiftelse, statlig etc;153414;1507;Ålesund;Region Midt;Avdeling Sunnmøre;11.02.2014;Hellestranda FORSYNES FRA: Haram komm.v.v.Indre;2019;0.0;16000.0;16000.0;160.0;365.0;ja;nei;nei;ja;nei;nei;nei;ja;nei;nei;136;136;58;2;82.0;6.0;0.0;0.0;5.0;2.0;5.0
nei;SA;984618182;Flatebygd Vannverk Sa;984781571;Flatebygd Vannverk Sa;4219;Evje og Hornnes;Flatebygd Vannverk Ba V/Ånund Flaat;Z0704301334415621189NNIZX;Privat AS, BA, lag, stiftelse, statlig etc;93703;4219;Evje og Hornnes;Region Sør og Vest;Avdeling Agder;20.03.2014;Flatebygd;2015;6874.0;6736.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;90;145;37;3;80.0;3.0;;;15.0;;2.0
ja;AS;984099118;Brokke Vatn Og Avlaupsverk As;984125917;Brokke Vatn Og Avlaupsverk As;4221;Valle;Kvislistøyl Vassverk Brokke Vatn- Og Avlaupsverk As;Z0704301335211671190BJAHD;Privat AS, BA, lag, stiftelse, statlig etc;94005;4216;Birkenes;Region Sør og Vest;Avdeling Agder;24.01.2018;Brokke hyttefelt og Garane boligfelt;2019;24000.0;24000.0;0.0;;;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;50;500;50;400;20.0;80.0;0.0;0.0;0.0;0.0;0.0
nei;AS;985345899;Øyvar As;980440710;Øyvar As   Avd Distribusjon;4626;Øygarden;Stranda-Glesnes Vassverk;Z0704301335253481190RISRX;Kommunalt aksjeselskap;124503;4626;Øygarden;Region Sør og Vest;Avdeling Bergen og omland;03.12.2015;Sund kommune;2019;122488.0;122488.0;90000.0;2200.0;365.0;ja;ja;ja;ja;nei;ja;ja;ja;ja;ja;2262;2262;901;20;30.0;5.0;25.0;10.0;5.0;0.0;25.0
