År;Befolkning
1951;9195
1952;9397
1953;9716
1954;9972
1955;10154
1956;10867
1957;10937
1958;11073
1959;11298
1960;11351
1961;11611
1962;11749
1963;12229
1964;12510
1965;12712
1966;12826
1967;13195
1968;13359
1969;14002
1970;14852
1971;15800
1972;16380
1973;16663
1974;16916
1975;16870
1976;16780
1977;16726
1978;16755
1979;16704
1980;16781
1981;16906
1982;17081
1983;17094
1984;17092
1985;17506
1986;17529
1987;17671
1988;17934
1989;17998
1990;18121
1991;18116
1992;18179
1993;18363
1994;18548
1995;18605
1996;18621
1997;18779
1998;19120
1999;19603
2000;20160
2001;20987
2002;21942
2003;22931
2004;23784
2005;24556
2006;25269
2007;25966
2008;26934
2009;28138
2010;29088
2011;30081
2012;31044
2013;31743
2014;32438
2015;33310
2016;34189
2017;35102
2018;36576
2019;38234
2020;39625
2021;40459
